未麻的部屋,1997,9.0,236701
我是山姆,2001,9.0,257663
头号玩家,2018,8.6,1133731
风之谷,1984,8.9,305907
上帝之城,2002,9.0,254295
英雄本色,1986,8.7,423713
谍影重重3,2007,8.8,349603
疯狂原始人,2013,8.7,709123
卢旺达饭店,2004,8.9,254932
三块广告牌,2017,8.7,680798
花样年华,2000,8.7,472592
新世界,2013,8.9,297430
纵横四海,1991,8.8,336979
模仿游戏,2014,8.7,501578
达拉斯买家俱乐部,2013,8.8,367777
黑客帝国3：矩阵革命,2003,8.8,351070
岁月神偷,2010,8.7,500500
心迷宫,2014,8.7,406590
头脑特工队,2015,8.7,485440
记忆碎片,2000,8.7,505415
你的名字。,2016,8.4,1128446
忠犬八公物语,1987,9.2,156071
荒蛮故事,2014,8.8,351447
海街日记,2015,8.8,343597
寄生虫,2019,8.8,1118886
真爱至上,2003,8.6,597886
爆裂鼓手,2014,8.7,461975
贫民窟的百万富翁,2008,8.6,626989
东邪西毒,1994,8.6,485771
惊魂记,1960,9.0,207239
萤火虫之墓,1988,8.7,351054
黑天鹅,2010,8.6,685496
哈利·波特与火焰杯,2005,8.6,459616
无敌破坏王,2012,8.7,434898
你看起来好像很好吃,2010,8.9,278167
小偷家族,2018,8.7,680314
绿里奇迹,1999,8.9,247021
冰川时代,2002,8.6,512660
爱在午夜降临前,2013,8.8,288095
雨人,1988,8.7,340824
九品芝麻官,1994,8.6,494970
疯狂的石头,2006,8.5,659939
恋恋笔记本,2004,8.5,539124
恐怖游轮,2009,8.5,651324
雨中曲,1952,9.0,169864
魔女宅急便,1989,8.7,376846
奇迹男孩,2017,8.6,470442
虎口脱险,1966,8.9,197105
海边的曼彻斯特,2016,8.6,396957
色，戒,2007,8.5,574950
2001太空漫游,1968,8.8,241129
二十二,2015,8.7,240965
人工智能,2001,8.7,360830
房间,2015,8.8,320525
城市之光,1931,9.3,110038
可可西里,2004,8.8,243010
罗生门,1950,8.8,251186
终结者2：审判日,1991,8.7,286168
初恋这件小事,2010,8.4,841735
大佛普拉斯,2017,8.7,338316
波西米亚狂想曲,2018,8.7,475117
遗愿清单,2007,8.7,328497
牯岭街少年杀人事件,1991,8.9,213642
魂断蓝桥,1940,8.8,227732
源代码,2011,8.5,678479
新龙门客栈,1992,8.6,362168
青蛇,1993,8.6,420358
疯狂的麦克斯4：狂暴之路,2015,8.6,426951
无耻混蛋,2009,8.6,390591
血钻,2006,8.7,300469
步履不停,2008,8.8,219196
燃情岁月,1994,8.8,240235
海洋,2009,9.1,139756
东京教父,2003,9.0,147930
穿越时空的少女,2006,8.6,324952
谍影重重2,2004,8.7,293135
彗星来的那一夜,2013,8.5,428984
阿飞正传,1990,8.5,409484
无间道2,2003,8.6,343092
战争之王,2005,8.7,290705
地球上的星星,2007,8.9,172273
完美陌生人,2016,8.5,448830
谍影重重,2002,8.6,350322
香水,2006,8.5,463070
千钧一发,1997,8.8,215707
黑客帝国2：重装上阵,2003,8.6,310597
东京物语,1953,9.2,108589
崖上的波妞,2008,8.5,380319
再次出发之纽约遇见你,2013,8.6,349064
朗读者,2008,8.6,396237
我爱你,2011,9.1,133604
驴得水,2016,8.3,761050
聚焦,2015,8.8,233688
猜火车,1996,8.5,362633
浪潮,2008,8.7,226693
小萝莉的猴神大叔,2015,8.4,410157
追随,1998,8.9,151431
黑鹰坠落,2001,8.7,242864
网络谜踪,2018,8.6,436851
